ModuleName,Layer,TargetSkill,SecondarySkill,RouteConfidence,RouteReason,PrimaryAliases,ExcludeTerms,RelativeBuildCsPath
AITestSuite,Developer,unreal-module-build,unreal-cpp-foundations,medium,domain_mapping,aitestsuite|unreal|module|aitest,email|translation|copywriting,Developer\AITestSuite\AITestSuite.Build.cs
AndroidDeviceDetection,Developer,unreal-module-build,unreal-cpp-foundations,medium,domain_mapping,androiddevicedetection|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidDeviceDetection\AndroidDeviceDetection.Build.cs
AndroidPlatformEditor,Developer,unreal-module-build,unreal-cpp-foundations,medium,domain_mapping,androidplatformeditor|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidPlatformEditor\AndroidPlatformEditor.Build.cs
AndroidTargetPlatform,Developer,unreal-module-build,unreal-cpp-foundations,medium,domain_mapping,androidtargetplatform|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidTargetPlatform\AndroidTargetPlatform.Build.cs
AndroidTargetPlatformControls,Developer,unreal-module-build,unreal-cpp-foundations,medium,domain_mapping,androidtargetplatformcontrols|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidTargetPlatformControls\AndroidTargetPlatformControls.Build.cs
AndroidTargetPlatformSettings,Developer,unreal-module-build,unreal-cpp-foundations,medium,domain_mapping,androidtargetplatformsettings|unreal|module|android,email|translation|copywriting,Developer\Android\AndroidTargetPlatformSettings\AndroidTargetPlatformSettings.Build.cs
AnimationDataController,Developer,unreal-cpp-foundations,unreal-module-build,medium,domain_mapping,animationdatacontroller|animation|skeletal|rig,email|translation|copywriting,Developer\AnimationDataController\AnimationDataController.build.cs
AnimationWidgets,Developer,unreal-cpp-foundations,unreal-module-build,medium,domain_mapping,animationwidgets|animation|skeletal|rig,email|translation|copywriting,Developer\AnimationWidgets\AnimationWidgets.Build.cs
AssetTools,Developer,unreal-testing-debugging,unreal-module-build,high,module_override,assettools|asset|cook|package,email|translation|copywriting,Developer\AssetTools\AssetTools.Build.cs
AudioFormatADPCM,Developer,unreal-cpp-foundations,unreal-module-build,medium,domain_mapping,audioformatadpcm|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatADPCM\AudioFormatADPCM.Build.cs
AudioFormatBink,Developer,unreal-cpp-foundations,unreal-module-build,medium,domain_mapping,audioformatbink|audio|sound|metasound,email|translation|copywriting,Developer\AudioFormatBink\AudioFormatBink.Build.cs
